Date,Away_team,Home_conference,Away_conference
11/9/2021,Louisiana Tech,Southeastern,Conference USA
11/9/2021,Tennessee St.,Southwest Athletic,Ohio Valley
11/9/2021,Towson,America East,Colonial Athletic Association
11/9/2021,Marist,Patriot League,Metro Atlantic Athletic
11/9/2021,Northern Arizona,Pacific-12,Big Sky
11/9/2021,Portland,Pacific-12,West Coast
11/9/2021,Mercer,Southeastern,Southern
11/9/2021,Harding,Sun Belt,NA
11/9/2021,New Paltz,Patriot League,NA
11/9/2021,Morehead St.,Southeastern,Ohio Valley
11/9/2021,UT Southern,Ohio Valley,NA
11/9/2021,Cornell,America East,Ivy League
11/9/2021,Utah Valley,Mountain West,Western Athletic
11/9/2021,Dartmouth,Atlantic Coast,Ivy League
11/9/2021,Salve Regina,Ivy League,NA
11/9/2021,Fisher,Northeast,NA
11/9/2021,IUPUI,Big East,Horizon League
11/9/2021,Cleveland St.,West Coast,Horizon League
11/9/2021,San Francisco St.,Western Athletic,NA
11/9/2021,Westcliff,Big West,NA
11/9/2021,UC San Diego,Pacific-12,Big West
11/9/2021,William Peace,Big South,NA
11/9/2021,Johnson & Wales NC,Big South,NA
11/9/2021,Monmouth,Conference USA,Metro Atlantic Athletic
11/9/2021,St. Thomas,Western Athletic,Summit League
11/9/2021,Evansville,American Athletic,Missouri Valley
11/9/2021,Presbyterian,Atlantic Coast,Big South
11/9/2021,Ferrum,Sun Belt,NA
11/9/2021,Northeastern,Patriot League,Colonial Athletic Association
11/9/2021,Montana St.,Pacific-12,Big Sky
11/9/2021,Oral Roberts,Mountain West,Summit League
11/9/2021,Central Connecticut,Big East,Northeast
11/9/2021,Arkansas Pine Bluff,Big East,Southwest Athletic
11/9/2021,Delaware,Atlantic 10,Colonial Athletic Association
11/9/2021,Illinois Chicago,Atlantic 10,Horizon League
11/9/2021,Cairn,Mid-Eastern Athletic,NA
11/9/2021,Regis,Summit League,NA
11/9/2021,Coe,Missouri Valley,NA
11/9/2021,Neumann,Colonial Athletic Association,NA
11/9/2021,Kentucky,Atlantic Coast,Southeastern
11/9/2021,Rider,Atlantic 10,Metro Atlantic Athletic
11/9/2021,South Carolina St.,American Athletic,Mid-Eastern Athletic
11/9/2021,Georgetown KY,Atlantic Sun,NA
11/9/2021,Elon,Southeastern,Colonial Athletic Association
11/9/2021,Florida National,Atlantic Sun,Conference USA
11/9/2021,Columbia,Atlantic 10,Ivy League
11/9/2021,Fresno Pacific,Mountain West,NA
11/9/2021,North Greenville,Southern,NA
11/9/2021,Stony Brook,Atlantic 10,America East
11/9/2021,St. Francis PA,Atlantic 10,Northeast
11/9/2021,FIU,Southeastern,NCAA
11/9/2021,Ball St.,Sun Belt,Mid-American
11/9/2021,Brewton Parker,Sun Belt,NA
11/9/2021,Miami OH,Atlantic Coast,Mid-American
11/9/2021,Dixie St.,West Coast,Western Athletic
11/9/2021,Grambling St.,Western Athletic,Southwest Athletic
11/9/2021,Indiana St.,Horizon League,Missouri Valley
11/9/2021,Mid Atlantic Christian,Big South,NA
11/9/2021,Morehouse,Ivy League,NA
11/9/2021,Shenandoah,Big South,NA
11/9/2021,Regis MA,Patriot League,NA
11/9/2021,Hofstra,American Athletic,Colonial Athletic Association
11/9/2021,District of Columbia,Mid-Eastern Athletic,NA
11/9/2021,Eastern Oregon,Big Sky,NA
11/9/2021,Jackson St.,Big Ten,Southwest Athletic
11/9/2021,UNC Wilmington,Missouri Valley,Colonial Athletic Association
11/9/2021,Texas St.,Southland,Sun Belt
11/9/2021,Eastern Michigan,Big Ten,Mid-American
11/9/2021,Appalachian St.,Metro Atlantic Athletic,Sun Belt
11/9/2021,Longwood,Big Ten,Big South
11/9/2021,Kennesaw St.,Big 12,Atlantic Sun
11/9/2021,Trinity Baptist,Atlantic Sun,NA
11/9/2021,Sacred Heart,Atlantic 10,Northeast
11/9/2021,Wiley,Western Athletic,NA
11/9/2021,Birmingham Southern,Atlantic Sun,NA
11/9/2021,Birmingham Southern,Atlantic Sun,NA
11/9/2021,Southern Illinois,Sun Belt,Missouri Valley
11/9/2021,West Florida,Sun Belt,NA
11/9/2021,Southern,Atlantic Coast,Southwest Athletic
11/9/2021,Coppin St.,Missouri Valley,Mid-Eastern Athletic
11/9/2021,Chattanooga,West Coast,Southern
11/9/2021,Louisiana Monroe,Southeastern,Sun Belt
11/9/2021,Manhattanville,Metro Atlantic Athletic,NA
11/9/2021,SIU Edwardsville,Big East,Ohio Valley
11/9/2021,Quinnipiac,Big Ten,Metro Atlantic Athletic
11/9/2021,UMBC,Atlantic 10,America East
11/9/2021,Tennessee Tech,American Athletic,Ohio Valley
11/9/2021,Emerson,Northeast,NA
11/9/2021,Canisius,Atlantic Coast,Metro Atlantic Athletic
11/9/2021,Kansas,Big Ten,Big 12
11/9/2021,Brescia,Conference USA,NA
11/9/2021,UMKC,Big Ten,Western Athletic
11/9/2021,New Orleans,Southeastern,Southland
11/9/2021,Central Michigan,Southeastern,Mid-American
11/9/2021,Southeast Missouri St.,Missouri Valley,Ohio Valley
11/9/2021,Dickinson St.,Big Sky,NA
11/9/2021,St. Mary's MD,Mid-Eastern Athletic,NA
11/9/2021,Cumberland,Ohio Valley,NA
11/9/2021,Bucknell,Big Sky,Patriot League
11/9/2021,Western Illinois,Big Ten,Summit League
11/9/2021,Hastings,Summit League,NA
11/9/2021,Eastern Washington,Mountain West,Big Sky
11/9/2021,St. Joseph's ME,America East,NA
11/9/2021,UC Irvine,Western Athletic,Big West
11/9/2021,Bridgewater VA,Mid-Eastern Athletic,NA
11/9/2021,Loyola MD,Atlantic Coast,Patriot League
11/9/2021,Milwaukee,Summit League,Horizon League
11/9/2021,Concordia College MN,Summit League,NA
11/9/2021,Oklahoma Christian,Conference USA,NA
11/9/2021,Nicholls St.,Missouri Valley,Southland
11/9/2021,Wheeling Jesuit,Horizon League,NA
11/9/2021,Eastern Illinois,Big Ten,Ohio Valley
11/9/2021,Belmont,Mid-American,Ohio Valley
11/9/2021,Akron,Big Ten,Mid-American
11/9/2021,Northwestern St.,Big 12,Southland
11/9/2021,UT Arlington,Big 12,Sun Belt
11/9/2021,Texas Southern,Pacific-12,Southwest Athletic
11/9/2021,Portland St.,Pacific-12,Big Sky
11/9/2021,The Citadel,Atlantic Coast,Southern
11/9/2021,Rutgers Camden,Ivy League,NA
11/9/2021,Fairfield,Big East,Metro Atlantic Athletic
11/9/2021,Bellarmine,Big Ten,Atlantic Sun
11/9/2021,Earlham,Horizon League,NA
11/9/2021,Emory & Henry,Big South,NA
11/9/2021,Boston University,Atlantic 10,Patriot League
11/9/2021,Pepperdine,Conference USA,West Coast
11/9/2021,North Carolina Central,Atlantic 10,Mid-Eastern Athletic
11/9/2021,William Jessup,Big Sky,NA
11/9/2021,Maryland Eastern Shore,Atlantic 10,Mid-Eastern Athletic
11/9/2021,Central Arkansas,Atlantic 10,Atlantic Sun
11/9/2021,Prairie View A&M,West Coast,Southwest Athletic
11/9/2021,Maryville TN,Southern,NA
11/9/2021,La Verne,West Coast,NA
11/9/2021,UC Riverside,Mountain West,Big West
11/9/2021,LIU,West Coast,Northeast
11/9/2021,Cal St. Fullerton,West Coast,Big West
11/9/2021,McNeese St.,American Athletic,Southland
11/9/2021,Spring Hill,Sun Belt,NA
11/9/2021,USC Upstate,Southeastern,Big South
11/9/2021,Bradley,Summit League,Missouri Valley
11/9/2021,Bethune Cookman,American Athletic,Southwest Athletic
11/9/2021,William Carey,Conference USA,NA
11/9/2021,Bethesda,Big Sky,Pacific Christian Athletic
11/9/2021,Siena,Atlantic 10,Metro Atlantic Athletic
11/9/2021,Mississippi Valley St.,Big East,Southwest Athletic
11/9/2021,Tarleton St.,Pacific-12,Western Athletic
11/9/2021,LSU Alexandria,Western Athletic,NA
11/9/2021,Florida Memorial,Atlantic Sun,NA
11/9/2021,Lafayette,Atlantic Coast,Patriot League
11/9/2021,Tennessee Martin,Southeastern,Ohio Valley
11/9/2021,Houston Baptist,Big 12,Southland
11/9/2021,Texas Lutheran,Southland,NA
11/9/2021,North Florida,Big 12,Atlantic Sun
11/9/2021,Carver,Sun Belt,NA
11/9/2021,Southeastern Louisiana,American Athletic,Southland
11/9/2021,UNC Asheville,Conference USA,Big South
11/9/2021,Cal St. Bakersfield,Pacific-12,Big West
11/9/2021,Rivier,America East,NA
11/9/2021,North Carolina A&T,Southern,Big South
11/9/2021,Cal St. Northridge,Pacific-12,Big West
11/9/2021,Texas A&M Intl,Western Athletic,NA
11/9/2021,Abilene Christian,Pacific-12,Western Athletic
11/9/2021,UC Davis,Mountain West,Big West
11/9/2021,Western New Mexico,Conference USA,NA
11/9/2021,Trinity TX,Conference USA,NA
11/9/2021,Toledo,Missouri Valley,Mid-American
11/9/2021,Saint Peter's,Atlantic 10,Metro Atlantic Athletic
11/9/2021,Mount St. Mary's,Big East,Northeast
11/9/2021,Navy,Atlantic Coast,Patriot League
11/9/2021,Maine,Atlantic Coast,America East
11/9/2021,Carlow,Southern,NA
11/9/2021,Hartford,Northeast,America East
11/9/2021,Northern Illinois,Pacific-12,Mid-American
11/9/2021,Alcorn St.,Pacific-12,Southwest Athletic
11/9/2021,Western Colorado,Big Sky,NA
11/9/2021,Oakland,Big 12,Horizon League
11/9/2021,Bowling Green,Southern,Mid-American
11/9/2021,Alabama St.,Conference USA,Southwest Athletic
11/9/2021,Jacksonville St.,American Athletic,Atlantic Sun
11/9/2021,Mary Baldwin,Big South,NA
11/9/2021,St. Francis NY,Big Ten,Northeast
11/9/2021,Bob Jones,Southern,NA
11/9/2021,Lake Erie,Horizon League,NA
11/9/2021,Niagara,Big East,Metro Atlantic Athletic
11/9/2021,Vassar,Ivy League,NA
11/10/2021,Coppin St.,Big East,Mid-Eastern Athletic
11/10/2021,Penn,Atlantic Coast,Ivy League
11/10/2021,Hawaii Hilo,Big West,NA
11/10/2021,Regent,Mid-Eastern Athletic,NA
11/10/2021,Long Beach St.,Big Sky,Big West
11/10/2021,Carlow,Colonial Athletic Association,NA
11/10/2021,Florida A&M,Big 12,Southwest Athletic
11/10/2021,Buffalo,Big Ten,Mid-American
11/10/2021,North Alabama,Southeastern,Atlantic Sun
11/10/2021,Florida Atlantic,Mountain West,Conference USA
11/10/2021,Pacific,Big Sky,West Coast
11/10/2021,Virginia Wesleyan,Conference USA,NA
11/10/2021,Youngstown St.,Big Ten,Horizon League
11/10/2021,Lehigh,Big Ten,Patriot League
11/10/2021,Harris Stowe,Atlantic 10,NA
11/10/2021,LeTourneau,Western Athletic,NA
11/10/2021,Alcorn St.,Western Athletic,Southwest Athletic
11/10/2021,Fairleigh Dickinson,Big East,Northeast
11/10/2021,Maryland Eastern Shore,American Athletic,Mid-Eastern Athletic
11/10/2021,North Florida,Southeastern,Atlantic Sun
11/10/2021,Northwestern St.,American Athletic,Southland
11/10/2021,San Francisco St.,Big West,NA
11/10/2021,Robert Morris,American Athletic,Horizon League
11/10/2021,Gardner Webb,Mountain West,Big South
11/10/2021,Alabama St.,Southeastern,Southwest Athletic
11/10/2021,William & Mary,Atlantic Coast,Colonial Athletic Association
11/10/2021,Hope,Mid-American,NA
11/10/2021,Detroit Mercy,Mountain West,Horizon League
11/11/2021,UC Riverside,Pacific-12,Big West
11/11/2021,South Carolina St.,Colonial Athletic Association,Mid-Eastern Athletic
11/11/2021,Kennesaw St.,Big East,Atlantic Sun
11/11/2021,Ohio Valley,Atlantic Sun,NA
11/11/2021,IUPUI,Missouri Valley,Horizon League
11/11/2021,Northern Colorado,Big West,Big Sky
11/11/2021,Regent,Atlantic Sun,NA
11/11/2021,George Washington,Big Ten,Atlantic 10
11/11/2021,Penn State Allegheny,Mid-Eastern Athletic,NA
11/11/2021,Washington College,Northeast,NA
11/11/2021,Merrimack,America East,Northeast
11/11/2021,Penn St. Wilkes Barre,Mid-Eastern Athletic,NA
11/11/2021,Vermont,Missouri Valley,America East
11/11/2021,Hawaii Hilo,West Coast,NA
11/11/2021,Willamette,West Coast,NA
11/11/2021,Sacred Heart,Big East,Northeast
11/11/2021,Spring Hill,Southern,NA
11/11/2021,Prairie View A&M,West Coast,Southwest Athletic
11/11/2021,Cal St. Fullerton,Mountain West,Big West
11/11/2021,Air Force,Summit League,Mountain West
11/11/2021,Mary Hardin Baylor,Western Athletic,NA
11/11/2021,McNeese St.,Big 12,Southland
11/11/2021,Brevard,Big South,NA
11/11/2021,Northern Arizona,Pacific-12,Big Sky
11/12/2021,South Dakota St.,Southeastern,Summit League
11/12/2021,East Tennessee St.,Sun Belt,Southern
11/12/2021,UT Rio Grande Valley,Pacific-12,Western Athletic
11/12/2021,Louisiana Monroe,Southeastern,Sun Belt
11/12/2021,Incarnate Word,Big 12,Southland
11/12/2021,Holy Cross,Atlantic Coast,Patriot League
11/12/2021,Gordon,Patriot League,NA
11/12/2021,Ohio Wesleyan,Mid-American,NA
11/12/2021,Central Arkansas,Big East,Atlantic Sun
11/12/2021,San Diego St.,West Coast,Mountain West
11/12/2021,North Dakota St.,Big West,Summit League
11/12/2021,Hartford,Big South,America East
11/12/2021,Lipscomb,Colonial Athletic Association,Atlantic Sun
11/12/2021,USC Upstate,Conference USA,Big South
11/12/2021,SIU Edwardsville,Western Athletic,Ohio Valley
11/12/2021,Wofford,Atlantic Coast,Southern
11/12/2021,Arkansas Pine Bluff,Mountain West,Southwest Athletic
11/12/2021,Marist,Ivy League,Metro Atlantic Athletic
11/12/2021,Salisbury,Mid-Eastern Athletic,NA
11/12/2021,Ottawa AZ,Summit League,NA
11/12/2021,Southern Utah,Western Athletic,Big Sky
11/12/2021,Army,Atlantic Coast,Patriot League
11/12/2021,Canisius,American Athletic,Metro Atlantic Athletic
11/12/2021,Illinois St.,Mid-American,Missouri Valley
11/12/2021,Randolph,Colonial Athletic Association,NA
11/12/2021,Trinity FL,NCAA,NA
11/12/2021,LIU,Mountain West,Northeast
11/12/2021,Penn,Atlantic 10,Ivy League
11/12/2021,Northeastern,Sun Belt,Colonial Athletic Association
11/12/2021,Stetson,Atlantic Coast,Atlantic Sun
11/12/2021,North Florida,Western Athletic,Atlantic Sun
11/12/2021,Rice,American Athletic,Conference USA
11/12/2021,George Fox,Big Sky,NA
11/12/2021,Arkansas St.,Big Ten,Sun Belt
11/12/2021,Northern Illinois,Big Ten,Mid-American
11/12/2021,UMKC,Big Ten,Western Athletic
11/12/2021,Oregon St.,Big 12,Pacific-12
11/12/2021,Tarleton St.,Big 12,Western Athletic
11/12/2021,Robert Morris,Southeastern,Horizon League
11/12/2021,Cornell,Patriot League,Ivy League
11/12/2021,Champion Christian,Sun Belt,NA
11/12/2021,Virginia Lynchburg,Big South,NA
11/12/2021,Jackson St.,Conference USA,Southwest Athletic
11/12/2021,Furman,Atlantic Coast,Southern
11/12/2021,South Carolina St.,Patriot League,Mid-Eastern Athletic
11/12/2021,Texas St.,Southeastern,Sun Belt
11/12/2021,Maine Farmington,America East,NA
11/12/2021,Fordham,Metro Atlantic Athletic,Atlantic 10
11/12/2021,New Hampshire,Big East,America East
11/12/2021,Wright St.,Conference USA,Horizon League
11/12/2021,Western Michigan,Big Ten,Mid-American
11/12/2021,Bethune Cookman,Conference USA,Southwest Athletic
11/12/2021,Western Kentucky,Big Ten,Conference USA
11/12/2021,Charleston Southern,Southeastern,Big South
11/12/2021,Virginia Tech,Patriot League,Atlantic Coast
11/12/2021,Sam Houston St.,Big Ten,Western Athletic
11/12/2021,San Diego,Mountain West,West Coast
11/12/2021,Carver,Southland,NA
11/12/2021,Brown,Atlantic Coast,Ivy League
11/12/2021,UNC Greensboro,Horizon League,Southern
11/12/2021,High Point,Big Ten,Big South
11/12/2021,Niagara,Big Ten,Metro Atlantic Athletic
11/12/2021,UTSA,Big 12,Conference USA
11/12/2021,Oakland,Big 12,Horizon League
11/12/2021,Southwestern Christian,Summit League,NA
11/12/2021,SMU,Pacific-12,American Athletic
11/12/2021,Idaho St.,West Coast,Big Sky
11/12/2021,Evergreen St.,Big Sky,NA
11/12/2021,VMI,Big South,Southern
11/12/2021,Indiana St.,Big Ten,Missouri Valley
11/12/2021,Western New England,Metro Atlantic Athletic,NA
11/12/2021,Bryant,Atlantic 10,Northeast
11/12/2021,Utah St.,Atlantic 10,Mountain West
11/12/2021,Coppin St.,Metro Atlantic Athletic,Mid-Eastern Athletic
11/12/2021,Eastern Illinois,Atlantic 10,Ohio Valley
11/12/2021,Texas Southern,West Coast,Southwest Athletic
11/12/2021,Stanford,West Coast,Pacific-12
11/12/2021,Princeton,Southeastern,Ivy League
11/12/2021,Southeastern Baptist,Southland,NA
11/12/2021,Austin Peay,Missouri Valley,Ohio Valley
11/12/2021,Louisiana,Conference USA,Sun Belt
11/12/2021,Abilene Christian,Southeastern,Western Athletic
11/12/2021,Grambling St.,Big 12,Southwest Athletic
11/12/2021,Morris,Southern,NA
11/12/2021,Morris,Southern,NA
11/12/2021,Morehead St.,Conference USA,Ohio Valley
11/12/2021,Eastern Washington,Big West,Big Sky
11/12/2021,Villanova,Pacific-12,Big East
11/12/2021,Guilford,Colonial Athletic Association,NA
11/12/2021,Antelope Valley,Western Athletic,Western State
11/12/2021,Radford,Atlantic Coast,Big South
11/12/2021,Western Carolina,Atlantic Coast,Southern
11/12/2021,Seattle,Pacific-12,Western Athletic
11/12/2021,Pittsburgh,Big 12,Atlantic Coast
11/12/2021,Culver Stockton,Summit League,NA
11/12/2021,American,Colonial Athletic Association,Patriot League
11/12/2021,Green Bay,Big Ten,Horizon League
11/12/2021,Kent St.,Big East,Mid-American
11/12/2021,Massachusetts,Ivy League,Atlantic 10
11/13/2021,Point Park,Mid-American,NA
11/13/2021,Gardner Webb,Southeastern,Big South
11/13/2021,Hartford,Patriot League,America East
11/13/2021,Nebraska Omaha,Mid-American,Summit League
11/13/2021,Evansville,Ohio Valley,Missouri Valley
11/13/2021,Howard,Missouri Valley,Mid-Eastern Athletic
11/13/2021,Troy,Big East,Sun Belt
11/13/2021,Mississippi Valley St.,Western Athletic,Southwest Athletic
11/13/2021,Life Pacific,Big West,NA
11/13/2021,Loyola MD,Colonial Athletic Association,Patriot League
11/13/2021,Georgia,American Athletic,Southeastern
11/13/2021,Ohio,Horizon League,Mid-American
11/13/2021,New Mexico,Pacific-12,Mountain West
11/13/2021,Coppin St.,Big East,Mid-Eastern Athletic
11/13/2021,UMass Lowell,Atlantic 10,America East
11/13/2021,Central Michigan,Big East,Mid-American
11/13/2021,Campbell,Atlantic Coast,Big South
11/13/2021,Hofstra,Atlantic 10,Colonial Athletic Association
11/13/2021,Warner,Conference USA,NA
11/13/2021,Dartmouth,Big East,Ivy League
11/13/2021,Texas,West Coast,Big 12
11/13/2021,Regent,Big South,NA
11/13/2021,Pacific,Big West,West Coast
11/13/2021,Northern Colorado,NA,Big Sky
11/13/2021,Barclay,Southland,NA
11/13/2021,Harvard,Metro Atlantic Athletic,Ivy League
11/13/2021,North Carolina A&T,Atlantic Sun,Big South
11/13/2021,Alabama A&M,Atlantic Sun,Southwest Athletic
11/13/2021,Old Dominion,Colonial Athletic Association,Conference USA
11/13/2021,Albany,Atlantic 10,America East
11/13/2021,NJIT,Patriot League,America East
11/13/2021,Florida Gulf Coast,Missouri Valley,Atlantic Sun
11/13/2021,Arizona Christian,West Coast,Golden Stat Athletic
11/13/2021,Vermont,Big Ten,America East
11/13/2021,Bryn Athyn,Mid-Eastern Athletic,NA
11/13/2021,North Carolina Central,American Athletic,Mid-Eastern Athletic
11/13/2021,UCF,Atlantic Coast,American Athletic
11/13/2021,Lamar,Mid-American,Western Athletic
11/13/2021,Prairie View A&M,Big Ten,Southwest Athletic
11/13/2021,Eastern Kentucky,Horizon League,Atlantic Sun
11/13/2021,Montana,Southeastern,Big Sky
11/13/2021,Alabama St.,Missouri Valley,Southwest Athletic
11/13/2021,Bellarmine,Ohio Valley,Atlantic Sun
11/13/2021,Colgate,Big Sky,Patriot League
11/13/2021,UTEP,Western Athletic,Conference USA
11/13/2021,Spring Hill,Southland,NA
11/13/2021,Carver,Southland,NA
11/13/2021,Champion Christian,Southland,NA
11/13/2021,Cal St. Northridge,Atlantic Coast,Big West
11/13/2021,Alcorn St.,West Coast,Southwest Athletic
11/13/2021,Merrimack,Big Ten,Northeast
11/13/2021,Mount St. Mary's,Atlantic 10,Northeast
11/13/2021,Davidson,West Coast,Atlantic 10
11/13/2021,Delaware,Metro Atlantic Athletic,Colonial Athletic Association
11/13/2021,Lipscomb,Mid-Eastern Athletic,Atlantic Sun
11/13/2021,Georgia Southern,American Athletic,Sun Belt
11/13/2021,Youngstown St.,Ohio Valley,Horizon League
11/13/2021,St. Thomas,Northeast,Summit League
11/13/2021,Saint Peter's,Big East,Metro Atlantic Athletic
11/13/2021,USC,American Athletic,Pacific-12
11/13/2021,Miami Hamilton,Ohio Valley,NA
11/13/2021,Norfolk St.,Ohio Valley,Mid-Eastern Athletic
11/13/2021,Detroit Mercy,Mid-American,Horizon League
11/13/2021,Monmouth,Colonial Athletic Association,Metro Atlantic Athletic
11/13/2021,Southern,American Athletic,Southwest Athletic
11/13/2021,Air Force,American Athletic,Mountain West
11/13/2021,Boise St.,Big West,Mountain West
11/13/2021,George Washington,Big West,Atlantic 10
11/13/2021,California,Mountain West,Pacific-12
11/13/2021,Mary Hardin Baylor,Sun Belt,NA
11/13/2021,Sacramento St.,Pacific-12,Big Sky
11/13/2021,Illinois Chicago,Missouri Valley,Horizon League
11/13/2021,Wagner,Atlantic 10,Northeast
11/13/2021,North Alabama,NA,Atlantic Sun
11/13/2021,South Alabama,American Athletic,Sun Belt
11/13/2021,Mercer,Big South,Southern
11/14/2021,Fairfield,Atlantic Coast,Metro Atlantic Athletic
11/14/2021,Central Connecticut,Ivy League,Northeast
11/14/2021,Penn,Patriot League,Ivy League
11/14/2021,UNC Asheville,Southern,Big South
11/14/2021,Peru St.,Mountain West,NA
11/14/2021,South Dakota,Missouri Valley,Summit League
11/14/2021,Western Carolina,American Athletic,Southern
11/14/2021,Bluefield,Colonial Athletic Association,NA
11/14/2021,Bluefield,Colonial Athletic Association,NA
11/14/2021,Florida St.,Southeastern,Atlantic Coast
11/14/2021,Morgan St.,Atlantic 10,Mid-Eastern Athletic
11/14/2021,Hanover,Missouri Valley,NA
11/14/2021,Piedmont,Atlantic Sun,NA
11/14/2021,Arkansas Baptist,Sun Belt,Sun Belt
11/14/2021,Mid Atlantic Christian,Big South,NA
11/14/2021,Lipscomb,Patriot League,Atlantic Sun
11/14/2021,Rocky Mountain,Big Sky,NA
11/14/2021,Dubuque,Missouri Valley,NA
11/14/2021,Prairie View A&M,Big 12,Southwest Athletic
11/14/2021,Minnesota,Ivy League,Big Ten
11/14/2021,Delaware St.,Metro Atlantic Athletic,Mid-Eastern Athletic
11/14/2021,Binghamton,Northeast,America East
11/14/2021,Idaho St.,Western Athletic,Big Sky
11/14/2021,Yale,Big East,Ivy League
11/14/2021,Western Kentucky,Southeastern,Conference USA
11/14/2021,Paul Quinn,Southland,NA
11/14/2021,Canisius,Atlantic 10,Metro Atlantic Athletic
11/14/2021,South Dakota St.,Western Athletic,Summit League
11/14/2021,Drexel,Atlantic Coast,Colonial Athletic Association
11/14/2021,East Tennessee St.,Southeastern,Southern
11/14/2021,Oakwood,Ohio Valley,NA
11/14/2021,Texas A&M Corpus Chris,Southeastern,Southland
11/14/2021,Rhodes,Conference USA,NA
11/14/2021,La Sierra,Big West,NA
11/14/2021,Texas St.,Southeastern,Sun Belt
11/14/2021,Arkansas Pine Bluff,Mountain West,Southwest Athletic
11/15/2021,William Peace,Sun Belt,NA
11/15/2021,North Florida,Pacific-12,Atlantic Sun
11/15/2021,Central Baptist,Sun Belt,NA
11/15/2021,Nicholls St.,Big 12,Southland
11/15/2021,Furman,Ohio Valley,Southern
11/15/2021,Sacramento St.,Big West,Big Sky
11/15/2021,San Diego,Pacific-12,West Coast
11/15/2021,Bryant,Atlantic Coast,Northeast
11/15/2021,Maine,Pacific-12,America East
11/15/2021,Weber St.,Atlantic 10,Big Sky
11/15/2021,Central Michigan,Ohio Valley,Mid-American
11/15/2021,Walla Walla,Big Sky,NA
11/15/2021,LeMoyne Owen,Southwest Athletic,NA
11/15/2021,St. Thomas,Atlantic 10,Summit League
11/15/2021,Idaho,Mountain West,Big Sky
11/15/2021,Lamar,Atlantic Coast,Western Athletic
11/15/2021,Alcorn St.,West Coast,Southwest Athletic
11/15/2021,Denver,Horizon League,Summit League
11/15/2021,Carver,Atlantic Sun,NA
11/15/2021,Jarvis Christian,Conference USA,NA
11/15/2021,Navy,Atlantic Coast,Patriot League
11/15/2021,Liberty,Southeastern,Atlantic Sun
11/15/2021,Illinois,Big East,Big Ten
11/15/2021,Milligan,Conference USA,NA
11/15/2021,Penn St.,Atlantic 10,Big Ten
11/15/2021,Champion Christian,Southland,NA
11/15/2021,UMKC,Southeastern,Western Athletic
11/15/2021,Kentucky Christian,Ohio Valley,NA
11/15/2021,Grambling St.,Mountain West,Southwest Athletic
11/15/2021,Montana,Summit League,Big Sky
11/15/2021,Buffalo,Conference USA,Mid-American
11/15/2021,Benedictine Mesa,Big Sky,NA
11/15/2021,Colorado College,Big Sky,NA
11/15/2021,Robert Morris,Mid-American,Horizon League
11/15/2021,Bowling Green,Big Ten,Mid-American
11/15/2021,Manhattan,Conference USA,Metro Atlantic Athletic
11/15/2021,Utah Valley,West Coast,Western Athletic
11/15/2021,The Citadel,Big South,Southern
11/15/2021,Holy Cross,Metro Atlantic Athletic,Patriot League
11/15/2021,Southern Utah,West Coast,Big Sky
11/15/2021,Samford,West Coast,Southern
11/15/2021,Knox,Ohio Valley,NA
11/15/2021,Northwestern St.,American Athletic,Southland
11/15/2021,North Carolina A&T,American Athletic,Big South
11/15/2021,Franciscan,Northeast,NA
11/15/2021,San Jose St.,Pacific-12,Mountain West
11/15/2021,Southern Miss,Big 12,Conference USA
11/15/2021,Prairie View A&M,Big 12,Southwest Athletic
11/15/2021,Oregon St.,American Athletic,Pacific-12
11/15/2021,Long Beach St.,Pacific-12,Big West
11/15/2021,Penn State York,America East,NA
11/15/2021,Coppin St.,Southern,Mid-Eastern Athletic
11/15/2021,North Dakota St.,Mountain West,Summit League
11/15/2021,St. Andrews Pres.,Big South,NA
11/15/2021,Bethune Cookman,Pacific-12,Southwest Athletic
11/15/2021,Texas A&M Commerce,Conference USA,NA
11/15/2021,Radford,Atlantic Coast,Big South
11/15/2021,Texas Southern,Pacific-12,Southwest Athletic
11/15/2021,UC Santa Barbara,Pacific-12,Big West
11/15/2021,Providence,Big Ten,Big East
11/15/2021,Erskine,Southern,NA
11/16/2021,South Alabama,Southeastern,Sun Belt
11/16/2021,North Dakota St.,Pacific-12,Summit League
11/16/2021,Missouri S&T,Missouri Valley,NA
11/16/2021,Johnson & Wales RI,Ivy League,NA
11/16/2021,Jackson St.,Western Athletic,Southwest Athletic
11/16/2021,George Washington,Big West,Atlantic 10
11/16/2021,N.C. State,Northeast,Big Sky
11/16/2021,North Carolina,Colonial Athletic Association,Atlantic Coast
11/16/2021,Tennessee Tech,Southern,Ohio Valley
11/16/2021,Alabama A&M,American Athletic,Southwest Athletic
11/16/2021,Edinboro,Horizon League,NA
11/16/2021,Colgate,Ivy League,Patriot League
11/16/2021,Northern Vermont,Ivy League,NA
11/16/2021,Regent,Mid-Eastern Athletic,NA
11/16/2021,Gardner Webb,Atlantic Coast,Big South
11/16/2021,James Madison,Atlantic Sun,Colonial Athletic Association
11/16/2021,DePauw,Missouri Valley,NA
11/16/2021,Medgar Evers,Metro Atlantic Athletic,NA
11/16/2021,Miami FL,Conference USA,Atlantic Coast
11/16/2021,USC,Atlantic Sun,Pacific-12
11/16/2021,American,Big East,Patriot League
11/16/2021,South Carolina St.,Southeastern,Mid-Eastern Athletic
11/16/2021,Bob Jones,Sun Belt,NA
