team,SRS,SOS,conf_wins,conf_losses,ppg,ppg_allowed,MP,FG,FGA,FG_pct,X3P,X3PA,X3P_pct,FT,FTA,FT_pct,ORB,TRB,AST,STL,BLK,TOV,PF,tournament
Eastern Illinois,-21.07,-3.97,3,15,56.3,71.1,40,20.1,50.5,0.398,5.97,18.3,0.326,10.2,15.9,0.638,7.1,29.4,11.8,6.32,3,16,14.5,0
Eastern Kentucky,-6.75,-5.38,5,11,79.3,75.1,40.8,28.6,68.5,0.417,11.7,33.2,0.353,10.3,14.6,0.706,12.5,36.2,15.6,10.2,3.65,11.6,16.5,0
Eastern Michigan,-10.86,-3.03,5,15,69.1,76,41,25.2,58.6,0.431,6.32,20.5,0.308,12.4,17.8,0.695,8.32,34.8,10.1,5.84,3.19,13.8,17.5,0
Eastern Washington,-5.2,-5.14,11,9,76.9,74.6,40.3,26.6,58.8,0.453,8.82,25.2,0.35,14.7,19.6,0.752,9.09,36.7,15.8,5.56,2.76,13.3,18.6,0
Elon,-6.15,1.39,7,11,67.1,72.2,40,23.9,56.3,0.426,8.53,24.9,0.342,10.7,14.5,0.737,8.88,33.2,12.5,4.84,2.44,13,20.3,0
Evansville,-10.95,1.4,2,16,59.2,70.7,40.8,21,52.7,0.398,8.17,24.8,0.33,9.07,12.8,0.708,4.8,27.2,10.5,5.93,2.03,11.2,14.7,0
Fairfield,-3.88,-4.09,8,12,67.8,66,40.5,24.8,57.3,0.434,7.61,22.4,0.34,10.5,15,0.704,9.48,34.6,11.9,5.42,3.06,11,15.9,0
Fairleigh Dickinson,-18.13,-6.21,4,11,67.2,79.2,40.4,24.3,59.8,0.406,6.85,21.2,0.324,11.8,16.6,0.708,10.3,33.1,11.8,6.46,2.96,13.7,18.3,0
Florida A&M,-12.05,-6.7,11,7,65.1,68.8,40.3,24.4,57,0.428,4.57,15.1,0.302,11.6,16.5,0.705,8.97,32.6,12,6.27,3.07,12.5,17.7,0
Florida Atlantic,2.63,-1.82,11,7,74.1,68.1,40.1,26.7,58.9,0.453,8.79,25,0.352,11.9,16.8,0.712,10.9,36.3,13.4,7.38,2.85,12.9,16.9,0
Florida Gulf Coast,-3.07,-4.91,10,6,77.7,73.7,40.9,27.8,61.2,0.454,10.2,29.2,0.35,11.9,17.7,0.676,11.2,38.8,15.7,6.68,4.82,13.5,14.8,0
FIU,-6.47,-3.27,5,13,70.8,71.1,40.8,25.4,59.1,0.43,9.63,27.5,0.35,10.3,14.7,0.702,9.59,35,13.8,6.41,4,14,15.4,0
Florida State,6.39,7.32,10,10,71,71.9,40.3,25.8,59.4,0.434,6.71,20.3,0.331,12.7,18,0.708,11.4,34.9,14.4,8.52,4.87,12.5,16.3,0
Florida,11.93,7.84,9,9,70.6,66.5,40.3,24.3,56.9,0.426,7.91,26.1,0.303,14.1,19.2,0.735,11.1,33.6,12.8,8.35,5.03,12.4,16,0
Fordham,-0.89,-0.2,8,10,66.1,66.8,40.6,23,58.4,0.394,7.41,25,0.297,12.6,17.4,0.727,10.2,36.8,11.8,7.31,3.72,13.2,17.7,0
Fresno State,8.36,1.94,8,9,66.2,59.4,40.7,23.8,53.2,0.446,6.94,20.6,0.337,11.8,16.6,0.711,8.83,34.1,12,6.11,2.81,11.2,15.4,0
Furman,6.2,-1.44,12,6,77.6,68.7,40.9,27.8,59.9,0.464,11.8,31,0.38,10.3,13.6,0.757,9.29,33.1,17.4,8.26,3.5,10.5,14.6,0
Gardner-Webb,-2.35,-4.43,11,5,69.5,64.2,40,25.3,57,0.444,7.42,22.5,0.329,11.5,16.4,0.701,8.81,36.9,13.2,7.26,4.74,13.4,18.3,0
George Mason,4.18,1.98,7,9,70.7,68.5,40.8,25,56.2,0.446,9.33,26.1,0.358,11.3,16.3,0.694,8.27,34.7,14.1,5.07,3.17,12.2,16,0
George Washington,-4.07,0.4,8,9,68.4,72.8,40.5,25.3,59,0.428,7.13,21.1,0.338,10.7,15.3,0.698,8.3,33.3,12.3,6.9,4.17,12.6,17.1,0
Georgetown,1.71,8.03,0,19,70.7,77,40,24.8,62.1,0.4,7.65,22.4,0.342,13.4,18,0.744,12.7,37.3,11.8,7.16,3.84,13.4,16.2,0
Georgia Southern,-7.04,-3.04,5,11,66.4,65.6,40.3,24.6,55.1,0.447,5.86,19.3,0.304,11.3,16.7,0.68,9.76,34.7,12,7.45,3.45,14.3,17.6,0
Georgia State,-1.11,-1.34,9,5,70.7,65.7,40.5,24.9,62.3,0.4,7.62,23.1,0.33,13.2,18.4,0.72,13.3,37.4,13.5,8.79,4.48,11.7,16.1,1
Georgia Tech,2.24,6.08,5,15,68.6,70.8,40.6,25.7,58.3,0.441,7.13,20.2,0.353,10,14.4,0.698,8.88,34,13.7,7.78,2.56,13.1,18,0
Georgia,-0.63,8.06,1,17,69.8,78.5,40,23.8,53.9,0.442,6.41,19.9,0.321,15.7,21,0.747,8.41,32.7,13.9,5.22,2.16,14.4,15,0
Gonzaga,25.46,4.5,13,1,87.2,66.2,40,32.7,62.6,0.521,8.19,22.1,0.37,13.7,19.2,0.713,9.66,41.9,18.1,6.41,5.81,11.6,15.5,1
Grambling St.,-12.35,-5.08,8,9,65.4,71,40,23.4,57.6,0.407,5.09,16.2,0.315,13.5,19,0.71,10.4,35.8,10.9,6.59,3.34,14.2,18.3,0
Grand Canyon,5.81,-2.57,12,5,71.1,61.2,40,25.3,58.8,0.43,8.16,23.2,0.351,12.4,18.2,0.679,12.7,40.3,12.8,6.65,2.19,13,17.7,0
Green Bay,-13.89,-5.44,4,16,61.7,68.9,40,22.3,53.1,0.419,5.2,18.4,0.282,12,16.8,0.714,8.93,30,10.7,4.97,2.77,12.9,15.4,0
Hampton,-13.54,-6,5,11,64.8,69.5,40.4,22.4,56.1,0.399,5.75,19.6,0.293,14.2,20.3,0.7,8.36,34.5,10.4,5.18,4.04,12.6,18.4,0
Hartford,-10.03,-7.69,9,9,69.8,72.2,40.2,25,55.6,0.449,9.28,25.1,0.369,10.6,15.3,0.69,7.75,32.4,12.2,6.03,3.16,12.2,15,0
Harvard,-4.68,-4.2,5,9,71.5,69.1,40.6,26,60.2,0.432,8.5,25.7,0.33,11,15.8,0.693,9.35,34.7,11.3,7.62,2.42,12.3,15.7,0
Hawaii,-0.52,-3.06,12,5,68.9,64.1,40,23.8,54.1,0.441,8.14,22.7,0.358,13.1,17.6,0.744,9.21,35.2,12.3,3.54,2.14,13,16.8,0
High Point,-6.53,-3.39,7,9,69.5,69.8,41.1,25.3,57.2,0.442,6.5,19.4,0.335,12.5,19.6,0.64,10.1,35.7,12.5,6.47,4.66,13.3,17.3,0
